Array size,MCR,MSD,MSD_arr,CS,QS,LSD,
21,149,637,83,94,131,86,
22,151,982,84,119,136,92,
23,70,733,73,90,101,82,
24,62,585,72,88,91,87,
25,86,691,78,99,120,90,
26,93,709,78,105,132,94,
27,74,632,79,94,125,91,
28,121,839,89,113,151,98,
29,94,725,87,113,148,98,
30,141,892,95,129,181,108,
39,99,701,114,96,183,116,
48,91,789,126,95,208,128,
57,108,867,140,103,280,144,
66,94,878,149,97,298,154,
75,118,891,156,113,358,171,
84,104,949,176,112,415,187,
93,98,903,173,101,427,189,
102,171,1108,198,138,544,220,
111,121,962,202,130,548,226,
120,106,959,214,123,573,234,
210,99,1452,321,109,1010,300,
300,119,1463,446,56,1518,357,
390,149,1477,515,58,2035,399,
480,177,1515,541,82,2592,430,
570,141,1930,560,71,3124,430,
660,129,2401,537,58,3560,430,
750,196,1873,605,76,4194,438,
840,143,1768,586,66,4794,438,
930,150,1983,605,75,5219,472,
1020,196,1996,626,69,5649,452,
1920,165,2677,838,62,11276,512,
2820,226,2680,763,69,17199,620,
3720,204,3158,735,80,23023,685,
4620,218,3733,793,79,28177,762,
5520,136,3736,908,63,33758,855,
6420,199,3821,1016,70,39705,986,
7320,146,3944,1008,62,44880,1074,
8220,227,4694,1027,76,49446,1155,
9120,212,4732,1043,71,55944,1271,
10020,212,4841,1055,86,60819,1337,
19020,191,7262,1055,84,117287,2349,
28020,235,9365,1096,81,172346,3205,
37020,224,10475,1121,79,223886,4224,
46020,270,11853,1144,77,279876,5021,
55020,286,14386,1121,72,339430,5526,
64020,303,17930,1121,69,387634,6345,
73020,282,20382,1117,62,441615,8078,
82020,351,21540,1117,76,483216,9482,
91020,344,22800,1141,66,551149,10275,
100020,324,24504,1133,73,597602,10826,
