Array size,MCR,MSD,MSD_arr,CS,QS,LSD,
21,186507,597068,46360,31637,23772,26947,
22,102648,415311,30120,18919,14075,21597,
23,36185,152305,10384,8205,5573,6805,
24,35280,176964,11928,9316,6236,7624,
25,62918,263209,17629,13373,9233,11060,
26,78675,347631,22549,17440,12217,14518,
27,124752,579519,35999,28734,20302,23795,
28,158450,604936,40946,32396,22690,26885,
29,143878,700894,44249,34717,24323,28009,
30,102809,430841,24284,17861,11682,17387,
39,48562,195355,11692,7830,6538,7449,
48,45752,211813,13811,7912,6898,7690,
57,49607,238025,14911,8862,7857,8861,
66,46229,230228,15065,7943,8002,8351,
75,50670,239825,16605,8665,8802,9414,
84,55169,275239,18569,8876,9810,10113,
93,51946,329197,20338,10512,12349,11767,
102,78765,457423,31244,15937,19669,17707,
111,110072,691985,44765,23602,32371,26780,
120,172139,827047,65773,29027,38224,34830,
210,80924,643283,53946,19173,37173,27499,
300,58891,521023,39302,10217,41804,21897,
390,125343,961714,81251,21244,85872,50817,
480,181694,1.08248e+06,132426,26999,124557,62671,
570,111392,780811,79540,15558,88018,41413,
660,136282,1.46909e+06,105197,26338,159248,72997,
750,166338,1.24651e+06,167439,28437,190212,84249,
840,74721,511888,93993,18231,104153,40920,
930,102056,959187,111089,24609,180416,66019,
1020,188722,1.37692e+06,212628,34172,281960,100663,
1920,153169,836132,219450,29734,360283,109088,
2820,130276,1.14244e+06,173145,35844,522548,137234,
3720,200385,1.6074e+06,342012,67914,1.13302e+06,257012,
4620,200623,1.89386e+06,378264,74558,1.32801e+06,344380,
5520,87065,737583,137821,26949,493540,122845,
6420,144389,1.42184e+06,285781,68209,1.27172e+06,317437,
7320,93604,874776,187480,36111,713176,162723,
8220,146689,1.72018e+06,382576,90592,1.70911e+06,423511,
9120,150042,1.70909e+06,391135,102702,2.07618e+06,493979,
10020,163147,1.54976e+06,425278,71570,1.58599e+06,316337,
19020,92067,1.57502e+06,498367,102717,2.12464e+06,459423,
28020,120807,2.48068e+06,595007,169511,3.31892e+06,618763,
37020,129237,2.66096e+06,736044,223845,4.78522e+06,858763,
46020,133067,4.24826e+06,1.16917e+06,254706,5.69344e+06,968593,
55020,152733,4.43882e+06,1.26207e+06,357965,7.16993e+06,1.23972e+06,
64020,145037,5.93779e+06,1.52653e+06,432013,7.07445e+06,1.17695e+06,
73020,176862,5.28502e+06,1.43149e+06,377375,7.27501e+06,1.35253e+06,
82020,202644,5.14809e+06,1.59393e+06,432740,7.60214e+06,1.45456e+06,
91020,205739,8.0071e+06,2.87082e+06,574690,8.49333e+06,1.56014e+06,
100020,194442,9.2196e+06,2.23424e+06,574405,9.38733e+06,1.91692e+06,
