Array size,MCR,MSD,MSD_arr,CS,QS,LSD,
21,7,3,1,0,0,0,
22,0,0,0,0,0,1,
23,0,0,0,0,0,0,
24,0,0,0,0,0,0,
25,0,0,0,0,0,0,
26,0,1,0,0,0,0,
27,0,2,0,0,0,1,
28,0,0,0,0,0,1,
29,0,2,0,0,0,3,
30,0,0,0,0,0,1,
39,0,4,0,0,0,2,
48,0,3,0,0,0,2,
57,0,2,0,0,0,3,
66,0,0,0,0,0,4,
75,0,2,0,0,0,4,
84,0,5,0,0,0,6,
93,0,6,0,0,0,6,
102,0,11,0,0,0,7,
111,0,7,1,1,0,7,
120,0,9,0,0,0,9,
210,0,15,0,3,0,22,
300,0,31,1,0,23,24,
390,0,40,3,2,0,31,
480,2,61,9,1,0,32,
570,2,14,5,1,0,58,
660,2,44,5,0,0,64,
750,2,47,7,0,0,83,
840,4,57,10,1,0,77,
930,1,30,14,0,0,91,
1020,4,25,14,1,0,107,
1920,4,77,12,0,1,142,
2820,3,70,19,0,1,135,
3720,3,50,14,1,0,131,
4620,4,61,27,17,0,125,
5520,2,29,26,0,0,114,
6420,3,43,24,0,0,79,
7320,4,67,26,0,0,73,
8220,3,43,24,0,0,65,
9120,2,49,33,1,0,46,
10020,2,83,39,34,1,35,
19020,4,107,89,1,0,43,
28020,4,206,162,4,0,35,
37020,6,298,328,10,1,51,
46020,11,487,722,16,1,130,
55020,16,743,797,27,5,143,
64020,33,1342,1362,15,20,234,
73020,63,2247,2450,60,17,385,
82020,82,3031,3103,109,29,657,
91020,121,4687,4716,75,34,1016,
100020,149,6498,5966,123,37,1272,
