Array size,MCR,MSD,MSD_arr,CS,QS,LSD,
21,838,763,119,120,56,301,
22,664,874,102,204,54,316,
23,789,797,93,129,51,304,
24,781,835,103,191,53,317,
25,746,853,101,204,51,312,
26,723,890,114,187,51,311,
27,672,1151,146,369,59,303,
28,598,1074,131,358,58,319,
29,683,1038,127,282,59,324,
30,805,1014,136,303,56,315,
39,761,967,188,159,53,284,
48,815,1138,276,255,59,314,
57,685,1071,216,172,54,312,
66,740,1037,260,207,53,329,
75,760,1082,264,219,58,355,
84,728,1201,328,282,63,388,
93,710,1271,341,255,63,406,
102,743,1145,276,214,59,415,
111,723,1208,346,277,64,436,
120,752,1195,325,220,61,451,
210,780,1310,393,304,70,566,
300,821,1465,581,87,109,628,
390,820,1261,447,67,66,653,
480,835,1251,561,69,61,669,
570,743,1143,562,77,70,731,
660,824,1714,651,71,69,734,
750,860,1646,703,80,63,776,
840,884,1967,618,96,74,772,
930,814,1488,656,74,69,771,
1020,865,1396,623,92,69,780,
1920,823,1923,1078,139,68,931,
2820,847,1995,1036,162,78,1077,
3720,852,2987,1355,282,114,1223,
4620,864,2801,1528,367,114,1385,
5520,871,3576,1678,360,162,1560,
6420,878,3758,1988,414,175,1722,
7320,884,4236,2188,460,200,1883,
8220,927,4402,2319,535,197,2008,
9120,899,3959,2498,583,205,2202,
10020,927,5701,2725,632,287,2393,
19020,1013,7778,4736,1129,507,5642,
28020,1193,12440,7011,1999,783,12065,
37020,1300,16021,9363,2959,1762,16278,
46020,1358,19665,12035,4102,4337,18445,
55020,1443,24742,14727,4870,6956,20617,
64020,1507,29870,17671,5714,9556,23400,
73020,1581,33616,20596,6477,12387,28902,
82020,1540,38986,23966,7246,15345,35219,
91020,1585,43558,26719,8158,19859,38674,
100020,1640,47916,29763,8791,23847,42242,
