Array size,MCR,MSD,MSD_arr,CS,QS,LSD,
21,11568,764150,43236,19113,3397,13759,
22,10540,796976,42800,19965,3479,13953,
23,10506,817055,43344,20186,3664,14049,
24,10591,867952,42962,21163,3811,14301,
25,10592,885782,43044,21234,3981,14360,
26,10780,905143,43111,21201,4185,14561,
27,10559,909635,43681,20503,4388,14678,
28,10756,913567,43275,21617,4546,14792,
29,10492,944182,43357,20839,4713,14937,
30,10749,949034,43437,21295,4919,15103,
39,10662,1.08874e+06,48522,17416,6655,16425,
48,10760,1.17908e+06,49763,17627,8462,17713,
57,10684,1.2195e+06,49529,18214,10300,18980,
66,10394,1.29827e+06,52004,17414,12172,20263,
75,10663,1.31946e+06,52542,18516,14090,21581,
84,10344,1.36111e+06,54287,17804,15979,22971,
93,10499,1.38284e+06,54884,17987,18094,24048,
102,10625,1.38872e+06,55141,18610,19997,25391,
111,10739,1.40644e+06,55935,18923,22120,26735,
120,10575,1.39026e+06,57106,18457,24072,27905,
210,10467,1.45931e+06,63744,19280,45449,40320,
300,10718,1.56313e+06,76643,13172,68281,52970,
390,10504,1.7279e+06,82600,14681,91136,65614,
480,10560,1.66552e+06,89036,16450,115089,78281,
570,10671,1.79925e+06,93515,17918,138355,91061,
660,10502,1.88639e+06,94561,19070,162491,103740,
750,10729,1.8175e+06,105923,20910,187936,115737,
840,10660,1.77905e+06,110265,23204,213037,128070,
930,10665,1.89491e+06,115421,25061,238724,141267,
1020,10850,1.91011e+06,121542,26403,263793,153145,
1920,10951,2.22141e+06,171213,40568,529221,277919,
2820,11129,2.5729e+06,219144,56739,803596,403594,
3720,11353,2.6801e+06,264575,72291,1.09003e+06,528332,
4620,11623,2.97256e+06,307275,87530,1.37526e+06,652868,
5520,11700,3.36481e+06,346290,101842,1.67353e+06,778894,
6420,11953,3.55853e+06,388235,117153,1.97394e+06,904695,
7320,12199,3.85248e+06,427241,132322,2.28055e+06,1.03067e+06,
8220,12425,4.1861e+06,466519,148442,2.57986e+06,1.15544e+06,
9120,12637,4.5244e+06,507331,163990,2.88689e+06,1.28174e+06,
10020,12879,4.85537e+06,547556,179412,3.20104e+06,1.40632e+06,
19020,14404,8.10964e+06,961750,332161,6.41654e+06,2.66661e+06,
28020,16742,1.11554e+07,1.37951e+06,485185,9.78804e+06,3.92553e+06,
37020,17378,1.43343e+07,1.79614e+06,637948,1.31823e+07,5.19018e+06,
46020,18160,1.74894e+07,2.2144e+06,790298,1.67029e+07,6.44822e+06,
55020,18926,2.06758e+07,2.63081e+06,943181,2.02721e+07,7.70233e+06,
64020,20157,2.39189e+07,3.04798e+06,1.09613e+06,2.38769e+07,8.96876e+06,
73020,21184,2.72103e+07,3.46479e+06,1.24907e+06,2.74194e+07,1.02816e+07,
82020,21902,3.03242e+07,3.88183e+06,1.40268e+06,3.10844e+07,1.15792e+07,
91020,22837,3.34041e+07,4.29941e+06,1.55532e+06,3.48069e+07,1.28358e+07,
100020,24018,3.64617e+07,4.71751e+06,1.70835e+06,3.85148e+07,1.40888e+07,
