Array size,MSD,MSD_arr,MCR,
21,3,1,0,
22,0,0,0,
23,0,0,0,
24,0,0,0,
25,0,0,0,
26,0,0,0,
27,0,0,0,
28,0,1,0,
29,0,0,0,
30,0,0,0,
39,0,1,0,
48,0,1,0,
57,0,2,0,
66,0,1,0,
75,0,1,0,
84,0,2,0,
93,0,3,0,
102,0,4,0,
111,0,2,0,
120,0,3,0,
210,0,15,0,
300,0,23,0,
390,0,30,0,
480,0,37,0,
570,0,44,0,
660,0,51,0,
750,0,58,0,
840,0,65,0,
930,0,72,0,
1020,0,79,0,
1920,1,79,0,
2820,3,80,0,
3720,4,80,0,
4620,1,80,1,
5520,0,80,0,
6420,0,80,0,
7320,0,80,0,
8220,0,80,0,
9120,1,80,1,
10020,0,81,0,
19020,0,81,1,
28020,2,85,1,
37020,2,83,1,
46020,0,84,0,
55020,4,85,1,
64020,6,92,1,
73020,8,87,3,
82020,9,88,2,
91020,9,89,2,
100020,9,90,3,
