Array size,MCR,MSD,MSD_arr,CS,QS,LSD,
21,186655,597097,46512,31697,23890,27019,
22,103159,415520,30183,18948,14132,21727,
23,36295,152314,10416,8221,5605,6824,
24,35341,176938,11961,9328,6269,7646,
25,63098,263070,17665,13395,9289,11093,
26,78872,347498,22605,17474,12289,14557,
27,124989,579498,36098,28766,20420,23859,
28,159020,604842,40944,32447,22763,26958,
29,144108,700660,44377,34760,24456,28148,
30,103200,431009,24341,17703,11739,17328,
39,48734,195359,11714,7843,6572,7468,
48,45880,211818,13830,7924,6929,7708,
57,49782,238030,14934,8881,7896,8876,
66,46423,230243,15083,7959,8036,8371,
75,50746,239805,16634,8683,8831,9426,
84,55223,275291,18588,8893,9844,10133,
93,50662,329212,20342,10539,12392,11777,
102,77750,458330,31288,15974,19724,17740,
111,109924,691889,44814,23632,32387,26834,
120,173245,827037,65831,29072,38333,34901,
210,81215,643188,54052,19206,37246,27527,
300,59051,521443,39325,10251,41842,21922,
390,124937,961703,81275,21340,85979,50851,
480,182091,1.08249e+06,132415,27178,124583,62710,
570,112650,781103,79584,15598,88131,41331,
660,136543,1.46912e+06,105324,26436,159329,73049,
750,166931,1.2468e+06,167455,28539,190226,84313,
840,74960,511782,94042,18263,104202,40942,
930,101321,959112,111153,24667,180473,66124,
1020,189170,1.377e+06,212681,34243,282035,100689,
1920,153487,836215,219467,29808,360288,109125,
2820,130884,1.14254e+06,173210,35908,522590,137252,
3720,201282,1.60732e+06,342069,67998,1.13313e+06,256976,
4620,201427,1.89396e+06,378422,74808,1.32803e+06,344279,
5520,87172,737836,137827,26985,493547,122856,
6420,144477,1.42283e+06,285895,68312,1.27161e+06,317510,
7320,93998,875632,187623,36162,713187,162742,
8220,147343,1.72035e+06,382623,90694,1.70905e+06,423558,
9120,150088,1.7092e+06,391148,102758,2.0761e+06,493982,
10020,163206,1.54993e+06,425387,71641,1.58598e+06,316364,
19020,92303,1.57514e+06,498389,102768,2.12456e+06,459491,
28020,121154,2.48152e+06,595028,169526,3.31904e+06,618961,
37020,129758,2.66168e+06,736023,223858,4.78521e+06,858957,
46020,133202,4.24862e+06,1.16928e+06,253828,5.69361e+06,968682,
55020,153235,4.44028e+06,1.26208e+06,357987,7.1701e+06,1.23978e+06,
64020,145747,5.93791e+06,1.5264e+06,432104,7.07454e+06,1.17706e+06,
73020,177652,5.2862e+06,1.43162e+06,377442,7.27496e+06,1.35252e+06,
82020,203453,5.14886e+06,1.59383e+06,432821,7.60221e+06,1.45459e+06,
91020,205890,8.00713e+06,2.87101e+06,574697,8.49334e+06,1.56018e+06,
100020,195197,9.21968e+06,2.23417e+06,574565,9.38733e+06,1.91683e+06,
